X-axis,Y-axis,Timestep,Density,Fuel
8678.3326,8374.74750083731,124,14,26.59
8678.3326,8374.74750083731,125,14,35.17
8678.3326,8374.74750083731,126,14,30.12
8678.3326,8374.74750083731,127,14,47.01
8678.3326,8374.74750083731,128,14,31.95
8678.3326,8374.74750083731,129,15,45.48
8678.3326,8374.74750083731,130,15,41.29
8678.3326,8374.74750083731,131,15,36.76
8678.3326,8374.74750083731,132,15,47.08
8678.3326,8374.74750083731,133,15,39.69
8678.3326,8374.74750083731,134,15,51.87
8678.3326,8374.74750083731,135,15,35.58
8678.3326,8374.74750083731,136,15,40.8
8678.3326,8374.74750083731,137,14,36.38
8678.3326,8374.74750083731,138,14,51.86
8678.3326,8374.74750083731,139,14,34.4
8678.3326,8374.74750083731,140,15,34.9
8678.3326,8374.74750083731,141,15,53.49
8678.3326,8374.74750083731,142,15,39.92
8678.3326,8374.74750083731,143,13,44.62
8678.3326,8374.74750083731,144,13,39.75
8678.3326,8374.74750083731,145,13,34.25
8678.3326,8374.74750083731,146,14,31.65
8678.3326,8374.74750083731,147,14,22.35
8678.3326,8374.74750083731,148,14,37.86
8678.3326,8374.74750083731,149,13,31.22
8678.3326,8374.74750083731,150,13,27.61
8678.3326,8374.74750083731,151,15,29.21
8678.3326,8374.74750083731,152,15,30.96
8678.3326,8374.74750083731,153,15,22.91
8678.3326,8374.74750083731,154,14,25.48
8678.3326,8374.74750083731,155,13,15.96
8678.3326,8374.74750083731,156,14,22.9
8678.3326,8374.74750083731,157,13,21.92
8678.3326,8374.74750083731,158,13,28.49
8678.3326,8374.74750083731,159,13,34.99
8678.3326,8374.74750083731,160,13,13.33
8678.3326,8374.74750083731,161,13,16.37
8678.3326,8374.74750083731,162,13,24.93
8678.3326,8374.74750083731,163,13,24.93
8678.3326,8374.74750083731,164,13,19.19
8678.3326,8374.74750083731,165,14,31.92
8678.3326,8374.74750083731,166,15,31.56
8678.3326,8374.74750083731,167,16,36.95
8678.3326,8374.74750083731,168,16,46.12
8678.3326,8374.74750083731,169,16,38.82
8678.3326,8374.74750083731,170,17,54.36
8678.3326,8374.74750083731,171,17,54.87
8678.3326,8374.74750083731,172,20,68.08
8678.3326,8374.74750083731,173,20,56.74
8678.3326,8374.74750083731,174,20,64.22
8678.3326,8374.74750083731,175,22,72.84
8678.3326,8374.74750083731,176,20,71.55
8678.3326,8374.74750083731,177,20,73.48
